Full List of Pokemon Champions Stats - Regulation M-A - The Game Haus

- [Best Pokemon Champions Builds (Meta Tier List & Guide)](https://thegamehaus.com/pokemon-champions/best-pokemon-champions-builds-early-meta-tier-list-guide/2026/04/09/)

Sports

- [Mock Drafts](https://thegamehaus.com/category/nfl-draft/mock-drafts/)
- [NFL Draft Big Board](https://thegamehaus.com/category/nfl-draft/nfl-draft-big-board/)
- [NFL Player Profiles](https://thegamehaus.com/category/nfl-draft/nfl-player-profiles/)
- [NFL Team Mock Drafts](https://thegamehaus.com/category/nfl-draft/nfl-team-mock-drafts/)

- [Contact Us](https://thegamehaus.com/contact-us/)
- [The Game Haus Team](https://thegamehaus.com/the-game-haus-team/)
- [Privacy Policy](https://thegamehaus.com/privacy-policy/)

[Home](https://thegamehaus.com/)» Full List of Pokemon Champions Stats – Regulation M-A

# Full List of Pokemon Champions Stats – Regulation M-A

Robert Hanes

Publish Date: April 11, 2026

[Share via Whatsapp](whatsapp://send?text=https%3A%2F%2Fthegamehaus.com%2Fpokemon-champions%2Ffull-list-of-pokemon-champions-stats-regulation-m-a%2F2026%2F04%2F11%2F) [Share via Facebook](https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fthegamehaus.com%2Fpokemon-champions%2Ffull-list-of-pokemon-champions-stats-regulation-m-a%2F2026%2F04%2F11%2F) [Share via Twitter](https://twitter.com/intent/tweet?text=Full+List+of+Pokemon+Champions+Stats+%26%238211%3B+Regulation+M-A&url=https%3A%2F%2Fthegamehaus.com%2Fpokemon-champions%2Ffull-list-of-pokemon-champions-stats-regulation-m-a%2F2026%2F04%2F11%2F)

Pokemon Stats have changed forever with the launch of Pokemon Champions. Each Regulation will have new Pokemon and Regulation M-A has 185, not including Megas and other Forms. Here are all of the stats for each Pokemon including their Mega Evolutions.

For more Pokemon guides, builds and walkthroughs, check out our [Pokemon hub](https://thegamehaus.com/pokemon/).

Looking to improve competitively? Visit our [Pokemon Champions guides](https://thegamehaus.com/pokemon-champions/) for builds, tier lists and strategies.

---

## Pokemon Champions Stats: Regulation M-A

Below is a list of all of the Pokemon Champions Stats for Regulation M-A. These are all Base Stats for each Pokemon without Natures or Stat Points being added. All Pokemon Stats have been increased for Champions. The new changes across the board at +75 to HP and +20 to Attack, Defense, Special Attack, Special Defense and Speed.

**Note, that if any change occurs with future Patch Notes, this will be updated.

You can also see our latest Build for these Pokemon on our [Best Pokemon Champions Builds (Early Meta Tier List & Guide)](https://thegamehaus.com/pokemon-champions/best-pokemon-champions-builds-early-meta-tier-list-guide/2026/04/09/) Page.

| Name | HP | Atk | Def | Sp. Atk | Sp. Def | Spd | Total |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Abomasnow | 165 | 112 | 95 | 112 | 105 | 80 | 669 |
| Absol | 140 | 150 | 80 | 95 | 80 | 95 | 640 |
| Aegislash (Blade) | 135 | 160 | 70 | 160 | 70 | 80 | 675 |
| Aegislash (Shield) | 135 | 70 | 160 | 70 | 160 | 80 | 675 |
| Aerodactyl | 155 | 125 | 85 | 80 | 95 | 150 | 690 |
| Aggron | 145 | 130 | 200 | 80 | 80 | 70 | 705 |
| Alakazam | 130 | 70 | 65 | 155 | 115 | 140 | 675 |
| Alcremie | 140 | 80 | 95 | 130 | 141 | 84 | 670 |
| [Alolan Ninetales](https://thegamehaus.com/pokemon-champions/best-alolan-ninetales-build-in-pokemon-champions-competitive-guide/2026/04/12/) | 148 | 87 | 95 | 101 | 120 | 129 | 680 |
| Alolan Raichu | 135 | 105 | 70 | 115 | 105 | 130 | 660 |
| Altaria | 150 | 90 | 110 | 90 | 125 | 100 | 665 |
| Ampharos | 165 | 95 | 105 | 135 | 110 | 75 | 685 |
| Appletun | 185 | 105 | 100 | 120 | 100 | 50 | 660 |
| Araquanid | 143 | 90 | 112 | 70 | 152 | 62 | 629 |
| Arbok | 135 | 115 | 89 | 85 | 99 | 100 | 623 |
| Arcanine | 170 | 135 | 100 | 115 | 100 | 110 | 730 |
| Archaludon | 165 | 125 | 150 | 145 | 85 | 105 | 775 |
| Ariados | 145 | 110 | 90 | 80 | 90 | 60 | 575 |
| Armarouge | 160 | 80 | 120 | 145 | 100 | 95 | 700 |
| Aromatisse | 176 | 92 | 92 | 119 | 109 | 49 | 637 |
| Aurorus | 198 | 97 | 92 | 119 | 112 | 78 | 696 |
| Avalugg | 170 | 137 | 204 | 64 | 66 | 48 | 689 |
| Azumarill | 175 | 70 | 100 | 80 | 100 | 70 | 595 |
| Banette | 139 | 135 | 85 | 103 | 83 | 85 | 630 |
| Basculegion (Female) | 195 | 112 | 85 | 120 | 95 | 98 | 705 |
| [Basculegion (Male)](https://thegamehaus.com/pokemon-champions/best-basculegion-build-in-pokemon-champions-competitive-guide/2026/04/09/) | 195 | 132 | 85 | 100 | 95 | 98 | 705 |
| Bastiodon | 135 | 72 | 188 | 67 | 158 | 50 | 670 |
| Beartic | 170 | 150 | 100 | 90 | 100 | 70 | 680 |
| Beedrill | 140 | 110 | 60 | 65 | 100 | 95 | 570 |
| Bellibolt | 184 | 84 | 111 | 123 | 103 | 65 | 670 |
| Blastoise | 154 | 103 | 120 | 105 | 125 | 98 | 705 |
| Camerupt | 145 | 120 | 90 | 125 | 95 | 60 | 635 |
| Castform | 145 | 90 | 90 | 90 | 90 | 90 | 635 |
| Ceruledge | 150 | 145 | 100 | 80 | 120 | 105 | 700 |
| Chandelure | 135 | 75 | 110 | 165 | 110 | 100 | 695 |
| [Charizard](https://thegamehaus.com/pokemon-champions/best-charizard-build-in-pokemon-champions-competitive-guide/2026/04/06/) | 153 | 104 | 98 | 129 | 105 | 120 | 709 |
| Chesnaught | 163 | 127 | 142 | 94 | 95 | 84 | 705 |
| Chimecho | 150 | 70 | 100 | 115 | 110 | 85 | 630 |
| Clawitzer | 146 | 93 | 108 | 140 | 109 | 79 | 675 |
| Clefable | 170 | 90 | 93 | 115 | 110 | 80 | 658 |
| Cofagrigus | 133 | 70 | 165 | 115 | 125 | 50 | 658 |
| Conkeldurr | 180 | 160 | 115 | 75 | 85 | 65 | 680 |
| Corviknight | 173 | 107 | 125 | 73 | 105 | 87 | 670 |
| Crabominable | 172 | 152 | 97 | 82 | 87 | 63 | 653 |
| Decidueye | 163 | 132 | 100 | 115 | 115 | 80 | 705 |
| Dedenne | 142 | 78 | 77 | 101 | 87 | 121 | 606 |
| Delphox | 150 | 89 | 92 | 134 | 120 | 124 | 709 |
| Diggersby | 160 | 76 | 97 | 70 | 97 | 98 | 598 |
| Ditto | 123 | 68 | 68 | 68 | 68 | 68 | 503 |
| Dragapult | 163 | 140 | 95 | 120 | 95 | 162 | 775 |
| [Dragonite](https://thegamehaus.com/pokemon-champions/best-dragonite-build-in-pokemon-champions-early-meta-guide/2026/04/06/) | 166 | 154 | 115 | 120 | 120 | 100 | 795 |
| Drampa | 153 | 80 | 105 | 155 | 111 | 56 | 660 |
| Emboar | 185 | 143 | 85 | 120 | 85 | 85 | 703 |
| Emolga | 130 | 95 | 80 | 95 | 80 | 123 | 603 |
| Empoleon | 159 | 106 | 108 | 131 | 121 | 80 | 705 |
| Espeon | 140 | 85 | 80 | 150 | 115 | 130 | 700 |
| Espathra | 170 | 80 | 80 | 121 | 80 | 125 | 736 |
| Eternal Floette | 149 | 105 | 107 | 175 | 168 | 122 | 826 |
| Excadrill | 185 | 155 | 80 | 70 | 85 | 108 | 683 |
| Farigiraf | 195 | 110 | 90 | 130 | 90 | 80 | 695 |
| Feraligatr | 160 | 125 | 120 | 99 | 103 | 98 | 705 |
| Flapple | 145 | 130 | 100 | 115 | 80 | 90 | 660 |
| Flareon | 140 | 150 | 80 | 115 | 130 | 85 | 700 |
